Rm 	Rp02	K_p	n_p	sig_f_p	b	eps_f_p	c
391.7	324.7	1047.37	0.12645	752.37	-0.07747	0.073	-0.61266
398.2	327.7	1054.91	0.12843	759.13	-0.07821	0.077	-0.60897
390.3	321.3	1045.75	0.12834	750.91	-0.07817	0.076	-0.60913
390.8	317.2	1046.33	0.13215	751.43	-0.07957	0.082	-0.60214
384.4	311	1038.56	0.13280	744.46	-0.07981	0.082	-0.60095
388	315.5	1043.08	0.13166	748.52	-0.07940	0.080	-0.60302
387.8	315.2	1042.85	0.13178	748.31	-0.07944	0.081	-0.60281
395.9	324.6	1052.24	0.12943	756.74	-0.07858	0.078	-0.60711
393.5	320.5	1049.46	0.13122	754.24	-0.07923	0.081	-0.60383
393.7	322.1	1049.69	0.13002	754.45	-0.07879	0.079	-0.60603
391.4	314.8	1047.02	0.13458	752.06	-0.08045	0.086	-0.59776
392.7	321.2	1048.53	0.13008	753.41	-0.07882	0.079	-0.60591
395.1	316.1	1051.32	0.13548	755.90	-0.08077	0.088	-0.59616
412.9	330	1071.96	0.13626	774.42	-0.08104	0.092	-0.59479
401.3	320.1	1058.51	0.13677	762.35	-0.08123	0.091	-0.59387
398.7	313.9	1055.49	0.14019	759.65	-0.08242	0.096	-0.58791
399.6	319.3	1056.54	0.13631	760.58	-0.08106	0.090	-0.59468
394.7	310.1	1050.85	0.14073	755.49	-0.08261	0.096	-0.58697
392.2	310.7	1047.95	0.13857	752.89	-0.08186	0.092	-0.59071
377.7	271.53	1031.13	0.16276	737.81	-0.08973	0.128	-0.55133
315	169	958	0.223	673	-0.105	0.204	-0.473
325.61	166	970.71	0.23176	683.63	-0.10736	0.220	-0.46322
